devid,window_start,window_end,avg_temperature,avg_humidity,avg_lux
72:a5:12:55:c5:00,2024-01-01T00:00:00Z,2024-01-01T00:05:00Z,20.3,53.23,14.73
72:a5:12:55:c5:00,2024-01-01T00:05:00Z,2024-01-01T00:10:00Z,19.92,48.46,33.51
72:a5:12:55:c5:00,2024-01-01T00:10:00Z,2024-01-01T00:15:00Z,20.39,52.29,35.44
72:a5:12:55:c5:00,2024-01-01T00:15:00Z,2024-01-01T00:20:00Z,20.91,50.37,-84.54
72:a5:12:55:c5:00,2024-01-01T00:20:00Z,2024-01-01T00:25:00Z,19.86,50.5,49.45
72:a5:12:55:c5:00,2024-01-01T00:25:00Z,2024-01-01T00:30:00Z,19.86,46.06,18.19
72:a5:12:55:c5:00,2024-01-01T00:30:00Z,2024-01-01T00:35:00Z,20.95,45.59,-38.12
72:a5:12:55:c5:00,2024-01-01T00:35:00Z,2024-01-01T00:40:00Z,20.46,49.56,-44.98
72:a5:12:55:c5:00,2024-01-01T00:40:00Z,2024-01-01T00:45:00Z,19.72,50.49,-20.04
72:a5:12:55:c5:00,2024-01-01T00:45:00Z,2024-01-01T00:50:00Z,20.33,47.75,-77.92
72:a5:12:55:c5:00,2024-01-01T00:50:00Z,2024-01-01T00:55:00Z,19.72,47.82,103.34
72:a5:12:55:c5:00,2024-01-01T00:55:00Z,2024-01-01T01:00:00Z,19.72,51.12,89.17
72:a5:12:55:c5:00,2024-01-01T01:00:00Z,2024-01-01T01:05:00Z,21.44,48.02,544.74
72:a5:12:55:c5:00,2024-01-01T01:05:00Z,2024-01-01T01:10:00Z,20.15,46.62,504.23
72:a5:12:55:c5:00,2024-01-01T01:10:00Z,2024-01-01T01:15:00Z,20.26,48.45,505.81
72:a5:12:55:c5:00,2024-01-01T01:15:00Z,2024-01-01T01:20:00Z,20.96,44.55,563.12
72:a5:12:55:c5:00,2024-01-01T01:20:00Z,2024-01-01T01:25:00Z,20.69,46.18,623.11
72:a5:12:55:c5:00,2024-01-01T01:25:00Z,2024-01-01T01:30:00Z,21.48,50.19,483.41
72:a5:12:55:c5:00,2024-01-01T01:30:00Z,2024-01-01T01:35:00Z,20.75,47.03,450.58
72:a5:12:55:c5:00,2024-01-01T01:35:00Z,2024-01-01T01:40:00Z,20.45,47.15,610.5
72:a5:12:55:c5:00,2024-01-01T01:40:00Z,2024-01-01T01:45:00Z,22.17,51.51,410.41
72:a5:12:55:c5:00,2024-01-01T01:45:00Z,2024-01-01T01:50:00Z,21.16,44.1,457.13
72:a5:12:55:c5:00,2024-01-01T01:50:00Z,2024-01-01T01:55:00Z,21.33,48.49,502.83
72:a5:12:55:c5:00,2024-01-01T01:55:00Z,2024-01-01T02:00:00Z,20.44,50.22,424.01
72:a5:12:55:c5:00,2024-01-01T02:00:00Z,2024-01-01T02:05:00Z,22.17,43.35,1066.73
72:a5:12:55:c5:00,2024-01-01T02:05:00Z,2024-01-01T02:10:00Z,22.57,45.72,1051.41
72:a5:12:55:c5:00,2024-01-01T02:10:00Z,2024-01-01T02:15:00Z,21.81,42.04,965.51
72:a5:12:55:c5:00,2024-01-01T02:15:00Z,2024-01-01T02:20:00Z,22.73,42.63,1076.78
72:a5:12:55:c5:00,2024-01-01T02:20:00Z,2024-01-01T02:25:00Z,22.14,44.77,1086.96
72:a5:12:55:c5:00,2024-01-01T02:25:00Z,2024-01-01T02:30:00Z,22.32,45.6,993.21
72:a5:12:55:c5:00,2024-01-01T02:30:00Z,2024-01-01T02:35:00Z,22.14,46.24,972.96
72:a5:12:55:c5:00,2024-01-01T02:35:00Z,2024-01-01T02:40:00Z,23.61,47.14,1135.58
72:a5:12:55:c5:00,2024-01-01T02:40:00Z,2024-01-01T02:45:00Z,22.49,43.87,1043.27
72:a5:12:55:c5:00,2024-01-01T02:45:00Z,2024-01-01T02:50:00Z,21.87,46.39,1015.38
72:a5:12:55:c5:00,2024-01-01T02:50:00Z,2024-01-01T02:55:00Z,22.99,43.32,1081.81
72:a5:12:55:c5:00,2024-01-01T02:55:00Z,2024-01-01T03:00:00Z,21.77,45.8,1018.12
72:a5:12:55:c5:00,2024-01-01T03:00:00Z,2024-01-01T03:05:00Z,23.66,41.93,1383.88
72:a5:12:55:c5:00,2024-01-01T03:05:00Z,2024-01-01T03:10:00Z,22.36,42.41,1419.02
72:a5:12:55:c5:00,2024-01-01T03:10:00Z,2024-01-01T03:15:00Z,22.74,42.36,1476.53
72:a5:12:55:c5:00,2024-01-01T03:15:00Z,2024-01-01T03:20:00Z,23.65,38.31,1294.68
72:a5:12:55:c5:00,2024-01-01T03:20:00Z,2024-01-01T03:25:00Z,23.98,39.27,1396.93
72:a5:12:55:c5:00,2024-01-01T03:25:00Z,2024-01-01T03:30:00Z,23.64,41.72,1497.2
72:a5:12:55:c5:00,2024-01-01T03:30:00Z,2024-01-01T03:35:00Z,23.47,38.14,1383.5
72:a5:12:55:c5:00,2024-01-01T03:35:00Z,2024-01-01T03:40:00Z,23.35,43.18,1506.98
72:a5:12:55:c5:00,2024-01-01T03:40:00Z,2024-01-01T03:45:00Z,22.65,43.26,1499.1
72:a5:12:55:c5:00,2024-01-01T03:45:00Z,2024-01-01T03:50:00Z,23.1,42.17,1410.28
72:a5:12:55:c5:00,2024-01-01T03:50:00Z,2024-01-01T03:55:00Z,23.26,39.27,1380.1
72:a5:12:55:c5:00,2024-01-01T03:55:00Z,2024-01-01T04:00:00Z,24.17,44.27,1396.97
72:a5:12:55:c5:00,2024-01-01T04:00:00Z,2024-01-01T04:05:00Z,24.54,43.68,1891.93
72:a5:12:55:c5:00,2024-01-01T04:05:00Z,2024-01-01T04:10:00Z,23.27,39.9,1844.52
72:a5:12:55:c5:00,2024-01-01T04:10:00Z,2024-01-01T04:15:00Z,24.52,40.63,1739.57
72:a5:12:55:c5:00,2024-01-01T04:15:00Z,2024-01-01T04:20:00Z,24.1,40.01,1695.56
72:a5:12:55:c5:00,2024-01-01T04:20:00Z,2024-01-01T04:25:00Z,23.92,40.67,1739.07
72:a5:12:55:c5:00,2024-01-01T04:25:00Z,2024-01-01T04:30:00Z,24.7,39.37,1746.68
