hour,minute,day_of_week,time_diff,label
16,47,5,162.25512550928687,0
6,43,5,177.77240170876667,0
14,43,6,158.86631785755247,0
4,34,6,53.795791183715,0
19,13,2,270.7775287681764,0
10,38,3,102.28387621661115,0
14,54,0,198.97891576624093,0
3,43,4,99.22069820644275,0
18,57,4,78.46785094072845,0
11,28,4,168.48367593362153,0
17,38,5,72.61960027905354,0
22,44,3,108.39252949618636,0
5,13,0,861.7272156074414,1
0,36,0,214.59494215835105,0
6,32,1,245.87665719077398,0
5,10,4,259.0606179709498,0
3,32,1,157.0346055464832,0
5,37,3,4.529528793677704,1
4,38,1,5.349548154697594,1
4,49,4,188.91127348508002,0
12,29,4,184.03141170904414,0
14,3,4,143.8890563073585,0
14,25,0,158.0151764552516,0
19,0,6,104.46071838357378,0
18,53,3,254.7375752358243,0
18,19,0,232.43844646275994,0
17,28,1,5.536177719128932,0
15,32,1,72.53895765406223,0
20,19,1,52.480890951001506,0
1,47,0,213.76809392258707,0
19,25,2,163.1670820468709,0
13,34,3,193.78664125487828,0
6,7,2,176.3640176552165,0
23,42,6,49.46131937685272,0
6,2,3,238.35117450499612,0
10,49,5,71.41197103502168,0
19,9,4,113.1942223968571,0
2,0,5,239.8559069061115,0
12,41,4,242.6530962797228,0
19,1,4,279.3710089198963,0
12,48,2,236.73873667116507,0
14,55,6,232.3920868672657,0
20,45,2,282.07707231030776,0
16,26,6,34.15907310816495,0
0,55,4,142.76736437496572,0
10,3,3,46.166842651568494,0
22,47,1,71.11393683923106,0
16,25,3,258.0576630770041,0
14,22,6,69.38835492214658,0
16,33,5,172.14343886173396,0
13,48,5,238.18327925310751,0
11,30,6,196.6941627199524,0
6,59,5,97.70006412224771,0
15,45,2,292.4573812174838,0
8,17,2,146.36059760648362,0
7,7,5,63.44573766170088,0
16,8,1,183.84096611704456,0
3,34,2,169.74483328076457,0
4,31,0,723.4816675648623,1
3,49,6,79.17549883884398,0
4,59,6,204.63026217952236,0
0,2,5,248.8165823269374,0
1,15,0,820.4227396553065,1
20,5,1,55.68486181900717,0
10,41,0,172.08643611963126,0
2,3,2,226.15558102275492,0
4,50,2,102.33676771281472,0
7,12,0,36.81493992548596,0
20,58,3,150.03765339824596,0
1,5,2,198.7706874919173,0
18,57,6,1169.3736725672693,0
21,31,4,120.10276537901262,0
9,55,2,218.48999870247312,0
18,38,6,31.95035533846241,0
5,3,1,225.6785820955089,0
9,50,0,139.48981510570115,0
20,57,5,277.39689998209326,0
12,37,1,179.43994273892292,0
9,48,3,112.22456758292351,0
12,43,4,168.52773161797657,0
2,5,1,260.4110446443759,0
3,16,0,126.70134484121537,0
7,26,5,164.49670747365795,0
4,50,4,81.07796706087126,0
10,23,0,221.24382922103544,0
16,35,0,106.11369490595104,0
20,23,4,130.3016929311663,0
8,58,6,210.88128270615582,0
0,58,3,261.32659109421513,0
22,10,3,192.28389182189966,0
5,30,6,137.52415497700653,0
5,37,6,747.3492622658903,1
8,23,4,75.50637070764512,0
8,30,6,99.11696216557266,0
3,44,3,167.02716250873593,0
2,22,0,171.32663988174102,0
19,13,3,34.2453821296912,0
4,39,6,145.8434557673259,0
17,2,4,268.4896447356537,0
5,10,3,127.36349918767753,0
8,36,1,199.06883748210916,0
23,53,0,198.34444267384035,0
4,30,1,110.01065863646298,0
9,52,4,252.96955037351896,0
19,20,2,52.54304343532352,0
14,14,5,227.91789417854847,0
10,13,4,258.6695416336363,0
5,28,1,259.78399363279215,0
12,23,2,234.3665938424634,0
